LMIcaseid,URL,Casetitle,Civilaction,Venue,YearFiled,Filingdate,Declaratoryjudgment,NPECode,Patents,# Of Patents,PrimaryPatent,Patent Url,IPC,PrimaryClass,First4level,Formatted 1st4Lvl,Filingdate1,B4,B3,B2,B1,O1,A1,A2,A3,A4,Casetitle1,Casetitle2,y,tag,dup
1,http://law.lexmachina.com/cases/2000068558,Milwaukee Electric Tool Corporation et al v. Tooltechnic Systems LLC,2:14-cv-01294,E.D.Wis.,2014,10/16/2014,0,8,"7554290,7944173,7999510",3,7554290,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7554290,H01M 10/46 (20060101),H01M 10/46 ,H01M 10,H01M  10,10/16/2014,9880,9062,8146,10250,11608,9096,10058,11273,13451,Milwaukee Electric Tool Corporation et al,Tooltechnic Systems LLC,4068,0,1
1000000111,http://law.lexmachina.com/cases/1000000111,"E-Pass Technologies v. 3COM, INC., et al",4:00-cv-02255,N.D.Cal.,2000, 6/26/2000,0,5,5276311,1,5276311,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5276311,G07C 9/00 (20060101); G07F 7/10 (20060101); G06K 19/073 (20060101); G06K 019/00 (); G06K 019/07 (),G07C 9/00,G07C 9,G07C   9,6/26/2000,535,463,428,482,557,515,584,681,661,E-Pass Technologies,"3COM, INC., et al",1068,1,0
1000000180,http://law.lexmachina.com/cases/2000002664,"Colder Products Company v. Value Plastics, Inc.",0:10-cv-01761,D.Minn.,2010, 4/23/2010,0,8,7695020,1,7695020,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7695020,F16L 55/00 (20060101); F16L 35/00 (20060101),F16L 55/00 ,F16L 55,F16L  55,4/23/2010,650,644,710,627,687,645,704,765,762,Colder Products Company,"Value Plastics, Inc.",2426,1,0
1000000198,http://law.lexmachina.com/cases/2000067887,"SYNCHRONOSS TECHNOLOGIES, INC. v. FUNAMBOL, INC.",3:14-cv-06017,D.N.J.,2014, 9/26/2014,0,8,"6671757,6757696,7587446",3,6671757,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6671757,G06F 12/00 (20060101); G06F 13/00 (20060101); G06F 15/16 (20060101); G06F 013/00 (),G06F 12/00 ,G06F 12,G06F  12,9/26/2014,3141,3315,3059,2620,2955,3225,2732,2829,2989,"SYNCHRONOSS TECHNOLOGIES, INC.","FUNAMBOL, INC.",5328,0,2
1000000202,http://law.lexmachina.com/cases/2000053021,"ConforMIS, Inc. v. Wright Medical Group, Inc. et al",1:13-cv-12312,D.Mass.,2013, 9/19/2013,0,8,"7534263,8062302,8066708,8460304,8551099",5,7534263,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7534263,A61F 2/08 (20060101); A61B 17/58 (20060101),A61F 2/08 ,A61F 2,A61F   2,9/19/2013,4185,4666,5280,4035,4151,4477,5921,3881,3882,"ConforMIS, Inc.","Wright Medical Group, Inc. et al",2463,1,0
1000000217,http://law.lexmachina.com/cases/2000047674,Acura Pharmaceuticals Inc. v. Ranbaxy Inc. et al,1:13-cv-00750,D.Del.,2013, 4/29/2013,0,8,"7201920,7510726,7981439,8409616,5409616",5,7201920,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7201920,A61K 9/20 (20060101); A01N 43/40 (20060101); A01N 43/46 (20060101); A01N 43/647 (20060101); A61K 31/135 (20060101); A61K 31/4468 (20060101); A61K 31/485 (20060101); A61K 9/48 (20060101),A61K 9/20 ,A61K 9,A61K   9,4/29/2013,7783,7675,9229,8198,8570,8307,10662,9499,8523,Acura Pharmaceuticals Inc.,Ranbaxy Inc. et al,1621,0,2
1000000239,http://law.lexmachina.com/cases/2000059765,"Mayfonk Athletic LLC v. Nike, Inc.",3:14-cv-00423,D.Or.,2014, 3/14/2014,0,8,"8253586,8860584",2,8253586,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=8253586,G08C 19/22 (20060101); H04Q 9/00 (20060101),G08C 19/22 ,G08C 19,G08C  19,3/14/2014,289,334,350,316,257,256,279,270,226,Mayfonk Athletic LLC,"Nike, Inc.",3934,1,0
1000000253,http://law.lexmachina.com/cases/94896,"Dyson, Inc. v. Hoover, Inc. et al",1:09-cv-02307,N.D.Ill.,2009, 4/15/2009,0,8,7291190,1,7291190,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7291190,B01D 45/12 (20060101),B01D 45/12 ,B01D 45,B01D  45,4/15/2009,278,209,231,259,198,218,224,244,308,"Dyson, Inc.","Hoover, Inc. et al",2737,1,1
1000000264,http://law.lexmachina.com/cases/7381,SUN CHEMICAL CORPORATION v. MARKEM CORPORATION,3:05-cv-02565,D.N.J.,2005, 5/13/2005,0,8,6586492,1,6586492,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6586492,C09D 11/00 (20060101); C09D 011/00 (),C09D 11/00 ,C09D 11,C09D  11,5/13/2005,2348,2233,2434,2630,2420,2627,2888,2795,1723,SUN CHEMICAL CORPORATION,MARKEM CORPORATION,5276,1,1
1000000275,http://law.lexmachina.com/cases/1000000275,"IP Learn, LLC. v. Skillsoft Corporation",3:02-cv-02632,N.D.Cal.,2002, 5/31/2002,0,5,"5779486, 5934909, 6118973, 6126448, 6398556",5,5779486,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5779486,G09B 7/04 (20060101); G09B 7/00 (20060101); G09B 007/04 (),G09B 7/04,G09B 7,G09B   7,5/31/2002,232,257,234,256,219,202,291,263,229,"IP Learn, LLC.",Skillsoft Corporation,1155,1,1
1000000283,http://law.lexmachina.com/cases/2000064764,Alcon Pharmaceuticals Ltd et al v. Aurobindo Pharma Ltd. et al,1:14-cv-00930,D.Del.,2014, 7/15/2014,0,8,"6716830,7671070",2,6716830,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6716830,A61K 45/00 (20060101); A61K 9/00 (20060101); A61K 45/06 (20060101); A61K 31/5375 (20060101); A61K 31/5383 (20060101); A61K 31/47 (20060101); A61K 31/4709 (20060101); A61K 031/58 (); A61K 031/44 (),A61K 45/00 ,A61K 45,A61K  45,7/15/2014,2012,2339,2484,2137,2146,2297,2108,2293,2244,Alcon Pharmaceuticals Ltd et al,Aurobindo Pharma Ltd. et al,1704,1,3
1000000294,http://law.lexmachina.com/cases/22572,"Eppendorf AG v. Bio-Rad Laboratories, Inc. et al",3:07-cv-00623,W.D.Wis.,2007,10/31/2007,0,8,6767512,1,6767512,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6767512,B01L 3/00 (20060101); B01L 7/00 (20060101); G01N 35/00 (20060101); B01L 009/00 (),B01L 3/00 ,B01L 3,B01L   3,10/31/2007,710,612,571,508,651,547,606,636,694,Eppendorf AG,"Bio-Rad Laboratories, Inc. et al",2862,1,0
1000000313,http://law.lexmachina.com/cases/2000071274,"North Winds Escape, Inc. v. Ardisam, Inc.",0:14-cv-05092,D.Minn.,2014,12/29/2014,0,8,8857825,1,8857825,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=8857825,B62B 9/04 (20060101),B62B 9/04 ,B62B 9,B62B   9,12/29/2014,222,168,257,309,307,234,248,334,354,"North Winds Escape, Inc.","Ardisam, Inc.",4283,1,0
1000000335,http://law.lexmachina.com/cases/4336,R and S Trading Company Inc v. KMart Corporation et al,8:05-cv-00221,C.D.Cal.,2005,  3/8/2005,0,8,6508016,1,6508016,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6508016,A43B 5/00 (20060101); A43B 3/10 (20060101); A43B 5/08 (20060101); A43B 003/12 (),A43B 5/00 ,A43B 5,A43B   5,3/8/2005,281,232,187,175,243,201,140,170,190,R and S Trading Company Inc,KMart Corporation et al,4721,1,0
1000000352,http://law.lexmachina.com/cases/2000073692,"CamelBak Products, LLC v. Osprey Packs, Inc.",5:15-cv-00906,N.D.Cal.,2015, 2/27/2015,0,8,7063243,1,7063243,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7063243,B65D 33/10 (20060101),B65D 33/10 ,B65D 33,B65D  33,2/27/2015,638,651,621,738,554,725,971,854,693,"CamelBak Products, LLC","Osprey Packs, Inc.",2267,1,0
1000000353,http://law.lexmachina.com/cases/2000005187,"Mediostream, Inc. v. Acer, Inc. et al",2:10-cv-00514,E.D.Tex.,2010,11/30/2010,0,8,7843508,1,7843508,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7843508,H04N 5/46 (20060101),H04N 5/46 ,H04N 5,H04N   5,11/30/2010,13866,14064,11933,11148,11941,10437,10569,10247,10931,"Mediostream, Inc.","Acer, Inc. et al",3970,1,0
1000000366,http://law.lexmachina.com/cases/21820,"Power Distribution, Inc. v. Danaher Corporation",3:07-cv-00423,E.D.Va.,2007, 7/19/2007,0,8,6330516,1,6330516,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6330516,G01R 19/25 (20060101); G01R 031/02 (),G01R 19/25 ,G01R 19,G01R  19,7/19/2007,395,441,359,435,451,497,411,412,431,"Power Distribution, Inc.",Danaher Corporation,4621,1,0
1000000374,http://law.lexmachina.com/cases/2000011241,"I.D. SYSTEMS, INC. v. SHOCKWATCH, INC.",2:11-cv-02297,D.N.J.,2011, 4/21/2011,0,8,"7656271,7876197,7911320",3,7656271,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7656271,G06F 7/04 (20060101); G05D 1/00 (20060101); G06Q 20/00 (20060101); G06F 7/00 (20060101),G06F 7/04 ,G06F 7,G06F   7,4/21/2011,1553,1463,1631,1494,1443,1640,1678,1500,1656,"I.D. SYSTEMS, INC.","SHOCKWATCH, INC.",3375,0,1
1000000380,http://law.lexmachina.com/cases/2000085881,"HORIZON PHARMA, INC. et al v. ACTAVIS LABORATORIES FL., INC. et al",3:15-cv-08523,D.N.J.,2015,11/24/2015,0,"8, 12","6926907,8557285",2,6926907,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6926907,A61K 45/06 (20060101); A61K 9/50 (20060101); A61K 9/24 (20060101); A61K 45/00 (20060101); A61K 009/22 (); A61K 009/24 (); A61K 009/32 (); A61K 009/52 (),A61K 45/06 ,A61K 45,A61K  45,11/24/2015,2297,2108,2293,2244,2213,1569,1392,1187,1147,"HORIZON PHARMA, INC. et al","ACTAVIS LABORATORIES FL., INC. et al",6855,0,1
1000000395,http://law.lexmachina.com/cases/25570,"ADC Telecommunications, Inc. v. ATX Incorporated et al",0:08-cv-05275,D.Minn.,2008, 9/26/2008,0,8,"6289210,6650885,7197294",3,6289210,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6289210,H01R 13/00 (20060101); H01R 13/646 (20060101); H04N 7/10 (20060101); H01R 31/00 (20060101); H04B 001/08 (),H01R 13/00 ,H01R 13,H01R  13,9/26/2008,4040,4519,3811,4592,4363,5125,4486,5056,5899,"ADC Telecommunications, Inc.",ATX Incorporated et al,1626,1,1
1000000396,http://law.lexmachina.com/cases/2000028037,"ArchAngel Home Security, LLC v. Absolute Security Products, Inc. et al",3:11-cv-03134,N.D.Tex.,2011,11/14/2011,1,"8, 9",7946635,1,7946635,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7946635,E05B 15/02 (20060101); E05B 1/00 (20060101),E05B 15/02 ,E05B 15,E05B  15,11/14/2011,535,373,494,424,498,388,444,526,525,"ArchAngel Home Security, LLC","Absolute Security Products, Inc. et al",6928,1,0
1000000403,http://law.lexmachina.com/cases/2000039248,AB Coaster Holdings. v. ICON Health & Fitness,1:12-cv-00201,D.Utah,2012, 10/1/2012,0,8,"7455633,7485079",2,7455633,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7455633,A63B 26/00 (20060101),A63B 26/00 ,A63B 26,A63B  26,10/1/2012,72,48,73,48,55,73,68,59,67,AB Coaster Holdings.,ICON Health & Fitness,1570,1,0
1000000411,http://law.lexmachina.com/cases/2000002289,Biomagic Inc v. Dutch Brothers Enterprises LLC et al,8:10-cv-00290,C.D.Cal.,2010,  3/9/2010,0,8,7637054,1,7637054,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=7637054,C05C 1/00 (20060101); B01D 12/00 (20060101); C05C 9/00 (20060101); C05C 5/00 (20060101); C05C 3/00 (20060101); C05C 13/00 (20060101); B01F 17/00 (20060101); B01F 17/02 (20060101); B01F 17/18 (20060101),C05C 1/00 ,C05C 1,C05C   1,3/9/2010,8,18,25,9,17,8,17,5,7,Biomagic Inc,Dutch Brothers Enterprises LLC et al,2124,1,0
1000000432,http://law.lexmachina.com/cases/551,Paris Plastics Ltd v. Cequent Trailer Products Inc,4:06-cv-00477,E.D.Tex.,2006,11/22/2006,1,8,6874764,1,6874764,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6874764,B60S 9/00 (20060101); B60S 9/08 (20060101); B66F 3/08 (20060101); B66F 3/00 (20060101); B60S 019/02 (),B60S 9/00 ,B60S 9,B60S   9,11/22/2006,64,74,70,118,72,58,73,97,90,Paris Plastics Ltd,Cequent Trailer Products Inc,4490,1,0
1000000435,http://law.lexmachina.com/cases/1000000619,"Hitachi, Ltd. v. Proview International Holdings, Inc. et al",3:05-cv-02305,N.D.Cal.,2005,  6/6/2005,0,8,"6247090,6513088,6549970",3,6247090,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6247090,G09G 1/16 (20060101); G06F 3/153 (20060101); G06F 3/14 (20060101); G06F 013/38 (),G09G 1/16 ,G09G 1,G09G   1,6/6/2005,84,86,77,66,56,73,52,37,31,"Hitachi, Ltd.","Proview International Holdings, Inc. et al",3304,0,2
1000000454,http://law.lexmachina.com/cases/17139,"Lawson Industries, et al v. Arvinmeritor, Inc., et al",1:02-cv-00135,M.D.Ga.,2002, 8/15/2002,0,"8, 9",6405826,1,6405826,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6405826,B60K 13/00 (20060101); B60K 13/04 (20060101); F01N 7/18 (20060101); F16L 3/14 (20060101); F01N 001/08 (); F16L 003/02 (),B60K 13/00 ,B60K 13,B60K  13,8/15/2002,91,81,56,50,88,95,71,92,69,"Lawson Industries, et al","Arvinmeritor, Inc., et al",7043,1,0
1000000456,http://law.lexmachina.com/cases/1000000435,"B&O Manufacturing, Inc. v. DB Industries, Inc. et al",3:03-cv-04589,N.D.Cal.,2003,10/10/2003,1,8,6609621,1,6609621,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6609621,A47B 47/00 (20060101); A47B 47/02 (20060101); A47B 96/00 (20060101); F16B 12/34 (20060101); F16B 12/00 (20060101); A47F 005/00 (),A47B 47/00 ,A47B 47,A47B  47,10/10/2003,129,146,165,167,145,143,165,165,194,"B&O Manufacturing, Inc.","DB Industries, Inc. et al",2016,1,0
1000000459,http://law.lexmachina.com/cases/2000071749,"Columbia Sportswear North America, Inc. v. Seirus Innovative Accessories",3:15-cv-00064,D.Or.,2015, 1/12/2015,0,8,"8424119,8453270,D657093",3,8424119,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=8424119,A41D 27/02 (20060101); A62B 17/00 (20060101); A41D 31/02 (20060101); A41D 13/01 (20060101),A41D 27/02 ,A41D 27,A41D  27,1/12/2015,529,806,1086,785,471,922,1466,1238,998,"Columbia Sportswear North America, Inc.",Seirus Innovative Accessories,2432,1,0
1000000469,http://law.lexmachina.com/cases/96148,"Consumer Solutions, Inc. v. Carrand Companies, Inc.",4:09-cv-01722,S.D.Tex.,2009,  6/5/2009,0,8,6795999,1,6795999,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6795999,A47L 1/15 (20060101); A47L 1/00 (20060101); A47L 13/20 (20060101); B25G 3/00 (20060101); B25G 3/38 (20060101); A47L 001/06 (),A47L 1/15 ,A47L 1,A47L   1,6/5/2009,80,74,84,55,75,72,82,74,108,"Consumer Solutions, Inc.","Carrand Companies, Inc.",2471,1,0
1000000470,http://law.lexmachina.com/cases/1000000470,"Electronics for Imaging, Inc. v. Coyle et al",3:04-cv-00652,N.D.Cal.,2004, 2/17/2004,1,"5, 9","5835788, 6337746, 6618157",3,5835788,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5835788,G06F 13/28 (20060101); G06F 9/38 (20060101); G06F 13/20 (20060101); G06F 013/14 (); G06F 013/12 (),G06F 13/28,G06F 13,G06F  13,2/17/2004,5210,5520,5687,5272,5230,5614,5577,5489,5719,"Electronics for Imaging, Inc.",Coyle et al,6723,1,0
1000000474,http://law.lexmachina.com/cases/2000001593,Eastman Chemical Company v. AlphaPet Inc. et al,1:09-cv-00971,D.Del.,2009,12/18/2009,0,8,"6906164,7358322,7459113",3,6906164,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6906164,B01J 19/24 (20060101); B01J 19/18 (20060101); B01J 8/00 (20060101); B01F 5/00 (20060101); B01F 5/10 (20060101); C08G 63/00 (20060101); C08G 63/78 (20060101); C08G 63/199 (20060101); C08G 63/183 (20060101); C08G 063/18 (); C08F 002/00 (),B01J 19/24 ,B01J 19,B01J  19,12/18/2009,1238,1157,1119,1199,1224,1194,1284,1170,1323,Eastman Chemical Company,AlphaPet Inc. et al,2760,1,0
1000000480,http://law.lexmachina.com/cases/2000004920,NOVARTIS PHARMACEUTICALS CORPORATION v. AUROBINDO PHARMA LIMITED et al,3:10-cv-06283,D.N.J.,2010, 12/3/2010,0,8,6162802,1,6162802,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6162802,A61K 31/55 (20060101); A61K 031/55 (); A61K 031/44 (),A61K 31/55 ,A61K 31,A61K  31,12/3/2010,37005,30965,36774,30230,36586,29045,31923,30489,34772,NOVARTIS PHARMACEUTICALS CORPORATION,AUROBINDO PHARMA LIMITED et al,4301,0,2
1000000516,http://law.lexmachina.com/cases/9632,"Marine Polymer Technologies, Inc. v. HemCon, Inc.",1:06-cv-00100,D.N.H.,2006, 3/17/2006,0,8,6864245,1,6864245,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6864245,A61L 15/16 (20060101); A61K 9/20 (20060101); A61K 47/48 (20060101); A61L 15/28 (20060101); A61L 31/04 (20060101); B60R 21/01 (20060101); B60R 21/26 (20060101); C06D 5/00 (20060101); C08B 37/08 (20060101); C08B 37/00 (20060101); C12P 19/26 (20060101); C12P 19/00 (20060101); C12N 5/00 (20060101); A61K 031/715 (); C08B 037/08 (),A61L 15/16 ,A61L 15,A61L  15,3/17/2006,867,956,718,1075,737,637,704,844,573,"Marine Polymer Technologies, Inc.","HemCon, Inc.",3896,1,0
1000000527,http://law.lexmachina.com/cases/2000028128,"Crocs, Inc. v. Walgreen, Co.",1:11-cv-02954,D.Colo.,2011,11/14/2011,0,8,"6993858,D610784",2,6993858,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6993858,A43B 7/06 (20060101); A43B 3/12 (20060101),A43B 7/06 ,A43B 7,A43B   7,11/14/2011,642,546,575,596,692,450,505,519,816,"Crocs, Inc.","Walgreen, Co.",2523,0,1
1000000533,http://law.lexmachina.com/cases/17415,Billingnetwork.com v. MDAnywhere Tech,8:04-cv-01517,M.D.Fla.,2004, 6/29/2004,0,8,6374229,1,6374229,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6374229,G06Q 30/00 (20060101); G06F 017/60 (); G06F 015/16 (),G06Q 30/00 ,G06Q 30,G06Q  30,6/29/2004,4142,3786,3784,3292,3181,3009,3104,3182,3047,Billingnetwork.com,MDAnywhere Tech,2118,0,3
1000000534,http://law.lexmachina.com/cases/1000000534,"Hewlett-Packard Company v. F&G; Research, Inc.",3:04-cv-03920,N.D.Cal.,2004, 9/16/2004,1,5,"5313229, 5438331",2,5313229,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5313229,G06F 3/033 (20060101); G09G 005/08 (),G06F 3/033,G06F 3,G06F   3,9/16/2004,9873,10953,10702,10444,10175,10710,10562,9976,9267,Hewlett-Packard Company,"F&G; Research, Inc.",1118,0,4
1000000541,http://law.lexmachina.com/cases/2000060299,Mallinckrodt LLC et al v. Amneal Pharmaceuticals LLC,1:14-cv-00389,D.Del.,2014, 3/27/2014,0,8,"8217078,8546450,8618164",3,8217078,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=8217078,A01N 37/12 (20060101); C07C 315/00 (20060101); C07C 229/00 (20060101); A01N 37/44 (20060101); A61K 31/19 (20060101); A61K 31/195 (20060101); A01N 37/10 (20060101); C07C 317/00 (20060101); A61K 31/10 (20060101); A01N 41/10 (20060101),A01N 37/12 ,A01N 37,A01N  37,3/27/2014,829,822,791,1217,875,722,862,1058,780,Mallinckrodt LLC et al,Amneal Pharmaceuticals LLC,3885,1,0
1000000561,http://law.lexmachina.com/cases/2000065518,Unimed Pharmaceuticals LLC et al v. Perrigo Company et al,1:14-cv-01003,D.Del.,2014, 7/31/2014,0,8,"8729057,8741881,8754070,8759329",4,8729057,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=8729057,A61K 31/56 (20060101); A61K 31/568 (20060101); C07C 49/00 (20060101); C07J 1/00 (20060101),A61K 31/56 ,A61K 31,A61K  31,7/31/2014,29374,32295,34729,28044,27713,31833,27340,30158,29038,Unimed Pharmaceuticals LLC et al,Perrigo Company et al,5663,0,1
1000000564,http://law.lexmachina.com/cases/95372,"Donaldson Company, Inc. v. Baldwin Filters, Inc.",0:09-cv-01049,D.Minn.,2009,  5/5/2009,0,8,"6190432,6350291,6517598,6610117,6783565,7303604,7329326",7,6190432,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6190432,B01D 46/52 (20060101); B01D 046/24 (),B01D 46/52 ,B01D 46,B01D  46,5/5/2009,911,1054,1143,1033,1018,1194,1104,1063,1103,"Donaldson Company, Inc.","Baldwin Filters, Inc.",2678,1,1
1000000567,http://law.lexmachina.com/cases/1000000699,Tumbleweed Communications Corp v. Critical Path Inc.,4:01-cv-02185,N.D.Cal.,2001,  6/5/2001,0,8,6192407,1,6192407,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6192407,G06F 17/30 (20060101); G06Q 10/00 (20060101); H04L 12/58 (20060101); H04L 29/06 (20060101); G06F 015/16 (),G06F 17/30 ,G06F 17,G06F  17,6/5/2001,9445,7964,9556,10085,10286,9171,8970,7913,8212,Tumbleweed Communications Corp,Critical Path Inc.,5622,0,2
1000000586,http://law.lexmachina.com/cases/21842,Robert Bosch LLC v. Jamak Fabrication-Tex Ltd.,1:07-cv-00676,D.Del.,2007,10/26/2007,0,8,"6944905,6978512",2,6944905,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6944905,B60S 1/38 (20060101); B60S 001/38 (),B60S 1/38 ,B60S 1,B60S   1,10/26/2007,816,557,607,549,765,526,588,609,624,Robert Bosch LLC,Jamak Fabrication-Tex Ltd.,4833,0,3
1000000591,http://law.lexmachina.com/cases/19333,InFocus Corporation v. 3M Company,3:04-cv-01192,D.Or.,2004, 8/27/2004,0,8,6424097,1,6424097,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6424097,H05B 41/28 (20060101); H05B 41/292 (20060101); H05B 037/02 (),H05B 41/28 ,H05B 41,H05B  41,8/27/2004,1137,1132,1287,1327,1312,1557,1219,1235,1024,InFocus Corporation,3M Company,3449,1,2
1000000597,http://law.lexmachina.com/cases/18166,"Trophy Ridge, LLC v. Vital Bow Gear, et al",2:03-cv-00010,D.Mont.,2003, 2/19/2003,0,8,"6892462,6418633",2,6892462,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6892462,F41G 1/467 (20060101); F41G 1/00 (20060101); F41G 001/467 (),F41G 1/467 ,F41G 1,F41G   1,2/19/2003,85,54,60,47,80,90,83,67,124,"Trophy Ridge, LLC","Vital Bow Gear, et al",5605,1,0
1000000614,http://law.lexmachina.com/cases/1000000614,Hewlett-Packard Company v. Digital Development Corporation,3:05-cv-01993,N.D.Cal.,2005, 5/16/2005,1,5,"4975950, 5121345",2,4975950,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=4975950,G06F 1/00 (20060101); G06F 21/00 (20060101); H04L 009/00 (),G06F 1/00,G06F 1,G06F   1,5/16/2005,4742,4918,5148,4466,4991,3953,4089,3515,3535,Hewlett-Packard Company,Digital Development Corporation,1118,0,1
1000000619,http://law.lexmachina.com/cases/24208,"Cellectis SA v. Precision BioSciences, Inc.",5:08-cv-00119,E.D.N.C.,2008, 3/13/2008,0,8,"6610545,6833252,7214536,7309605",4,6610545,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6610545,C12Q 1/68 (20060101); C12N 9/22 (20060101); C12N 015/55 (),C12Q 1/68 ,C12Q 1,C12Q   1,3/13/2008,5493,6083,5165,5862,5129,5588,5431,6235,5207,Cellectis SA,"Precision BioSciences, Inc.",2332,1,0
1000000636,http://law.lexmachina.com/cases/1000000636,"PB Farradyne, Inc.v Peterson et al",3:05-cv-03447,N.D.Cal.,2005, 8/25/2005,1,"1, 3, 8","5523950, RE38724",2,5523950,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5523950,G01C 21/34 (20060101); G08G 1/0968 (20060101); G06F 165/00 (),G01C 21/34,G01C 21,G01C  21,8/25/2005,1588,1748,2023,1651,1532,1560,1827,1586,1847,"PB Farradyne, Inc.v Peterson et al",,6593,1,0
1000000645,http://law.lexmachina.com/cases/1000000645,Pickholtz et al v. WIBU-Systems AG et al,3:05-cv-03661,N.D.Cal.,2005, 9/12/2005,0,"5, 9",4593353,1,4593353,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=4593353,G06F 21/00 (20060101); G06F 1/00 (20060101); G06F 012/14 (),G06F 21/00,G06F 21,G06F  21,9/12/2005,3928,3831,4044,3695,3270,3278,3556,3211,3498,Pickholtz et al,WIBU-Systems AG et al,6743,1,0
1000000646,http://law.lexmachina.com/cases/1000000646,Technology Licensing Corporation v. Opta Systems LLC et al,3:05-cv-03681,N.D.Cal.,2005, 9/13/2005,0,1,5734862,1,5734862,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5734862,G11B 27/10 (20060101); G06F 3/06 (20060101); G11B 27/034 (20060101); G11B 27/031 (20060101); G06F 013/00 (),G11B 27/10,G11B 27,G11B  27,9/13/2005,4645,4513,3450,4161,2504,2284,2154,2216,2655,Technology Licensing Corporation,Opta Systems LLC et al,730,0,4
1000000650,http://law.lexmachina.com/cases/1000000650,"LeapFrog Enterprises, Inc. v. Tinkers & Chance",3:05-cv-03850,N.D.Cal.,2005, 9/23/2005,1,5,6739874,1,6739874,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6739874,G09B 1/00 (20060101); G09B 7/04 (20060101); G09B 3/00 (20060101); G09B 1/06 (20060101); G09B 3/02 (20060101); G09B 17/00 (20060101); G09B 5/06 (20060101); G09B 7/00 (20060101); G09B 11/00 (20060101); G09B 5/00 (20060101); G09B 19/02 (20060101); G09B 19/04 (20060101); G09B 019/00 (); G09B 005/00 (); G09B 007/00 (); G09B 017/00 (),G09B 1/00,G09B 1,G09B   1,9/23/2005,40,74,43,68,51,65,59,57,57,"LeapFrog Enterprises, Inc.",Tinkers & Chance,1202,1,0
1000000653,http://law.lexmachina.com/cases/2000030744,SenoRX Inc. v. Hologic Inc.,1:12-cv-00173,D.Del.,2012, 2/10/2012,0,8,"8075469,8079946",2,8075469,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=8075469,A61N 5/00 (20060101),A61N 5/00 ,A61N 5,A61N   5,2/10/2012,1128,1083,988,1111,1090,1123,1130,1230,1187,SenoRX Inc.,Hologic Inc.,5009,1,0
